Date,Ticker,Currency,Open,High,Low,Close,Volume,Log_Returns,Volatility_30d,Intraday_Range_Pct,Target_Next_Day
2017-12-09,XRP-USD,USD,0.2521620094776153,0.2556839883327484,0.2400729954242706,0.2447080016136169,205288992,-0.02985930681415802,0.061812171673456824,6.502602627542169,0
2017-12-10,XRP-USD,USD,0.2455479949712753,0.2455479949712753,0.2293040007352829,0.2373329997062683,198174000,-0.030601452590990286,0.06126791885050946,7.084043097331335,1
2017-12-11,XRP-USD,USD,0.2365739941596985,0.2527770102024078,0.2358040064573288,0.2516910135746002,176100992,0.058737981571311874,0.06201454043819626,7.197928483098283,1
2017-12-12,XRP-USD,USD,0.2522580027580261,0.4341019988059997,0.2509610056877136,0.373540997505188,1555040000,0.3948255657103544,0.09299352268502852,72.97587631848263,1
2017-12-13,XRP-USD,USD,0.3726890087127685,0.5137680172920227,0.3429639935493469,0.4710629880428314,2738759936,0.2319640533574989,0.10064277467690638,49.80231947237921,1
2017-12-14,XRP-USD,USD,0.4706479907035827,0.8922669887542725,0.4664010107517242,0.8642629981040955,6358700032,0.6068853007887931,0.14595652765126582,91.30897407708372,0
2017-12-15,XRP-USD,USD,0.8617600202560425,0.8617600202560425,0.6661139726638794,0.756181001663208,3194210048,-0.13359635072629888,0.14956213808024463,29.371257115317402,1
2017-12-16,XRP-USD,USD,0.7554929852485657,0.8159229755401611,0.7416669726371765,0.7586420178413391,1334770048,0.0032492486734735614,0.1496667348160254,10.012041204821271,0
2017-12-17,XRP-USD,USD,0.7541249990463257,0.7659810185432434,0.7199289798736572,0.7283660173416138,805200000,-0.04072632346269323,0.15020631166943893,6.396747451070523,1
2017-12-18,XRP-USD,USD,0.7280359864234924,0.7920140027999878,0.6893230080604553,0.7784069776535034,1342720000,0.0664458020058277,0.15017777285337858,14.897369381079214,1
2017-12-19,XRP-USD,USD,0.777446985244751,0.86353600025177,0.7567239999771118,0.7912570238113403,1449670016,0.016373355344631236,0.15013994522650045,14.115053874053007,0
2017-12-20,XRP-USD,USD,0.7871710062026978,0.7890440225601196,0.7309529781341553,0.7759640216827393,1007420032,-0.019516694976280387,0.15054246715817868,7.947302516537888,1
2017-12-21,XRP-USD,USD,0.7825149893760681,1.2362200021743774,0.7825149893760681,1.193060040473938,3626109952,0.4301705928382818,0.16601332059388646,57.98036062671046,0
2017-12-22,XRP-USD,USD,1.166509985923767,1.3791799545288086,0.7410129904747009,1.1382800340652466,4644700160,-0.04700308809261608,0.16696319238922788,86.12088752253736,1
2017-12-23,XRP-USD,USD,1.1659400463104248,1.2080999612808228,1.0761100053787231,1.174340009689331,1497590016,0.03118791484458769,0.16686331377885355,12.265470559921747,0
2017-12-24,XRP-USD,USD,1.1755800247192385,1.1755800247192385,0.911225974559784,1.0439499616622925,754958976,-0.1176947370360513,0.1695873613119247,29.010811537408678,1
2017-12-25,XRP-USD,USD,1.045609951019287,1.1285200119018557,1.003559947013855,1.1223200559616089,686014016,0.07238646242126832,0.16961028318175916,12.45167917071879,1
